element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Li,2,"=""""","=""""","=""611.81""","=""0.19""","=""""","=""5.1772e+06""",AAA,"=""[581595.90]""","=""[597936.4]""","=""1s.4s""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""625.219""","=""0.009""","=""""","=""7.3471e+06""",AAA,"=""[581884.71]""","=""[597874.68]""","=""1s.4p""","=""3P*""","=""0""","=""1s.6d""","=""3D""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""625.219""","=""0.006""","=""""","=""9.9176e+06""",AAA,"=""[581885.11]""","=""[597875.07]""","=""1s.4p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""625.222""","=""0.006""","=""""","=""1.3225e+07""",AAA,"=""[581885.83]""","=""[597875.73]""","=""1s.4p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""625.235""","=""0.009""","=""""","=""5.5103e+06""",AAA,"=""[581885.11]""","=""[597874.68]""","=""1s.4p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""625.248""","=""0.006""","=""""","=""3.3058e+06""",AAA,"=""[581885.83]""","=""[597875.07]""","=""1s.4p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""625.263""","=""0.009""","=""""","=""3.6735e+05""",AAA,"=""[581885.83]""","=""[597874.68]""","=""1s.4p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""654.566""","=""0.006""","=""""","=""3.131e+06""",AA,"=""[582612.54]""","=""[597885.61]""","=""1s.4d""","=""3D""","=""2""","=""1s.6f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""654.595""","=""0.006""","=""""","=""4.177e+05""",AA,"=""[582613.20]""","=""[597885.61]""","=""1s.4d""","=""3D""","=""3""","=""1s.6f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""654.595""","=""0.010""","=""""","=""1.7365e+07""",AAA,"=""[582612.15]""","=""[597884.56]""","=""1s.4d""","=""3D""","=""1""","=""1s.6f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""654.611""","=""0.006""","=""""","=""3.2150e+06""",AAA,"=""[582612.54]""","=""[597884.56]""","=""1s.4d""","=""3D""","=""2""","=""1s.6f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""654.611""","=""0.006""","=""""","=""1.5246e+07""",AAA,"=""[582612.54]""","=""[597884.56]""","=""1s.4d""","=""3D""","=""2""","=""1s.6f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""654.640""","=""0.006""","=""""","=""9.1879e+04""",AAA,"=""[582613.20]""","=""[597884.56]""","=""1s.4d""","=""3D""","=""3""","=""1s.6f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""654.640""","=""0.006""","=""""","=""1.8793e+06""",AAA,"=""[582613.20]""","=""[597884.56]""","=""1s.4d""","=""3D""","=""3""","=""1s.6f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""654.640""","=""0.006""","=""""","=""2.0673e+07""",AAA,"=""[582613.20]""","=""[597884.56]""","=""1s.4d""","=""3D""","=""3""","=""1s.6f""","=""3F*""","=""4""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""655.319""","=""0.008""","=""""","=""1.7092e+07""",AAA,"=""[582630.08]""","=""[597885.61]""","=""1s.4d""","=""1D""","=""2""","=""1s.6f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""655.364""","=""0.008""","=""""","=""6.461e+02""",AA,"=""[582630.08]""","=""[597884.56]""","=""1s.4d""","=""1D""","=""2""","=""1s.6f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""655.364""","=""0.008""","=""""","=""3.542e+06""",AA,"=""[582630.08]""","=""[597884.56]""","=""1s.4d""","=""1D""","=""2""","=""1s.6f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""656.006""","=""0.008""","=""""","=""9.900e+04""",AA,"=""[582642.10]""","=""[597881.65]""","=""1s.4f""","=""3F*""","=""3""","=""1s.6d""","=""1D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""656.052""","=""0.008""","=""""","=""2.4840e+05""",AAA,"=""[582643.17]""","=""[597881.65]""","=""1s.4f""","=""1F*""","=""3""","=""1s.6d""","=""1D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""656.143""","=""0.006""","=""""","=""1.3056e+06""",AAA,"=""[581884.71]""","=""[597121.08]""","=""1s.4p""","=""3P*""","=""0""","=""1s.6s""","=""3S""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""656.160""","=""0.006""","=""""","=""3.9167e+06""",AAA,"=""[581885.11]""","=""[597121.08]""","=""1s.4p""","=""3P*""","=""1""","=""1s.6s""","=""3S""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""656.191""","=""0.006""","=""""","=""6.5280e+06""",AAA,"=""[581885.83]""","=""[597121.08]""","=""1s.4p""","=""3P*""","=""2""","=""1s.6s""","=""3S""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""656.261""","=""0.006""","=""""","=""8.0165e+02""",AAA,"=""[582642.10]""","=""[597875.73]""","=""1s.4f""","=""3F*""","=""2""","=""1s.6d""","=""3D""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""656.261""","=""0.006""","=""""","=""1.9769e+04""",AAA,"=""[582642.10]""","=""[597875.73]""","=""1s.4f""","=""3F*""","=""3""","=""1s.6d""","=""3D""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""656.261""","=""0.006""","=""""","=""3.2466e+05""",AAA,"=""[582642.10]""","=""[597875.73]""","=""1s.4f""","=""3F*""","=""4""","=""1s.6d""","=""3D""","=""3""",,"=""T8636c73""","=""""",
H,1,"=""656.270970""","=""0.000004""","=""656.270970""","=""0.000003""","=""""","=""5.3877e+07""",AAA,"=""82258.9191133""","=""97492.319433""","=""2p""","=""2P*""","=""1/2""","=""3d""","=""2D""","=""3/2""",,"=""T7771""","=""L2752""",
H,1,"=""""","=""""","=""656.2714""","=""0.0004""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c67""",
H,1,"=""""","=""""","=""656.2722""","=""0.0009""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c68""",
H,1,"=""656.272483""","=""0.000003""","=""656.272483""","=""0.000003""","=""""","=""2.2448e+07""",AAA,"=""82258.9543992821""","=""97492.319611""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,"=""T7771""","=""L6891c38""",
H,1,"=""""","=""""","=""656.275181""","=""0.000003""","=""""","=""2.1046e+06""",AAA,"=""82258.9191133""","=""97492.221701""","=""2p""","=""2P*""","=""1/2""","=""3s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""656.276701""","=""0.000003""","=""""","=""""",,"=""82258.9543992821""","=""97492.221701""","=""2s""","=""2S""","=""1/2""","=""3s""","=""2S""","=""1/2""",M1,"=""""","=""""",
H,1,"=""""","=""""","=""656.2770""","=""0.0006""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c66""",
H,1,"=""656.277153""","=""0.000003""","=""656.277153""","=""0.000003""","=""""","=""2.2449e+07""",AAA,"=""82258.9543992821""","=""97492.211200""","=""2s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,"=""T7771""","=""L6891c38""",
H,1,"=""656.279""","=""0.003""","=""656.2819""","=""0.0007""","=""500000""","=""4.4101e+07""",AAA,"=""82259.158""","=""97492.304""","=""2""","=""""","=""""","=""3""","=""""","=""""",,"=""T8637""","=""L7400c29""",
H,1,"=""""","=""""","=""656.2795""","=""0.0009""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c69""",
H,1,"=""656.285175""","=""0.000007""","=""656.285177""","=""0.000003""","=""""","=""6.4651e+07""",AAA,"=""82259.2850014""","=""97492.355566""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""5/2""",,"=""T7771""","=""L2752""",
H,1,"=""""","=""""","=""656.28533""","=""0.00003""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c71""",
H,1,"=""""","=""""","=""656.2854""","=""0.0003""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""c70""",
H,1,"=""""","=""""","=""656.286734""","=""0.000003""","=""""","=""1.0775e+07""",AAA,"=""82259.2850014""","=""97492.319433""","=""2p""","=""2P*""","=""3/2""","=""3d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
Li,2,"=""""","=""""","=""656.290""","=""0.006""","=""""","=""3.9275e+04""",AAA,"=""[582642.10]""","=""[597875.07]""","=""1s.4f""","=""3F*""","=""2""","=""1s.6d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""656.290""","=""0.006""","=""""","=""2.2504e+05""",AAA,"=""[582642.10]""","=""[597875.07]""","=""1s.4f""","=""3F*""","=""3""","=""1s.6d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
H,1,"=""""","=""""","=""656.290944""","=""0.000003""","=""""","=""4.2097e+06""",AAA,"=""82259.2850014""","=""97492.221701""","=""2p""","=""2P*""","=""3/2""","=""3s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
Li,2,"=""""","=""""","=""656.306""","=""0.010""","=""""","=""3.5353e+05""",AAA,"=""[582642.10]""","=""[597874.68]""","=""1s.4f""","=""3F*""","=""2""","=""1s.6d""","=""3D""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""656.307""","=""0.006""","=""""","=""8.289e+03""",AA,"=""[582643.17]""","=""[597875.73]""","=""1s.4f""","=""1F*""","=""3""","=""1s.6d""","=""3D""","=""3""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""656.336""","=""0.006""","=""""","=""8.922e+04""",AA,"=""[582643.17]""","=""[597875.07]""","=""1s.4f""","=""1F*""","=""3""","=""1s.6d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""653.14""","=""0.21""","=""""","=""1.2963e+06""",AAA,"=""[582630.08]""","=""[597936.4]""","=""1s.4d""","=""1D""","=""2""","=""1s.6p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""663.190187""","=""0.000003""","=""""","=""2.3749e+01""",AAA,"=""[171134.894441]""","=""[186209.3623329]""","=""1s.2p""","=""1P*""","=""1""","=""1s.3p""","=""1P*""","=""1""",E2,"=""T7378""","=""""",
Li,2,"=""""","=""""","=""664.48""","=""0.05""","=""""","=""1.3880e+07""",AAA,"=""[582836.5]""","=""[597881.65]""","=""1s.4p""","=""1P*""","=""1""","=""1s.6d""","=""1D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""664.252""","=""0.010""","=""""","=""2.3329e+04""",AAA,"=""[582612.15]""","=""[597662.53]""","=""1s.4d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""664.269""","=""0.006""","=""""","=""3.4986e+05""",AAA,"=""[582612.54]""","=""[597662.53]""","=""1s.4d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""664.281""","=""0.010""","=""""","=""5.8322e+05""",AAA,"=""[582612.15]""","=""[597661.86]""","=""1s.4d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""664.298""","=""0.010""","=""""","=""2.3329e+06""",AAA,"=""[582612.15]""","=""[597661.48]""","=""1s.4d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""0""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""664.298""","=""0.006""","=""""","=""1.7493e+06""",AAA,"=""[582612.54]""","=""[597661.86]""","=""1s.4d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""664.298""","=""0.006""","=""""","=""1.9596e+06""",AAA,"=""[582613.20]""","=""[597662.53]""","=""1s.4d""","=""3D""","=""3""","=""1s.6p""","=""3P*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""664.77""","=""0.05""","=""""","=""1.834e+03""",AA,"=""[582836.5]""","=""[597875.07]""","=""1s.4p""","=""1P*""","=""1""","=""1s.6d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""662.07""","=""0.23""","=""""","=""1.877e+01""",AA,"=""[582836.5]""","=""[597936.4]""","=""1s.4p""","=""1P*""","=""1""","=""1s.6p""","=""1P*""","=""1""",E2,"=""T7378""","=""""",
He,1,"=""667.8151""","=""""","=""667.815174""","=""0.000003""","=""100""","=""6.3705e+07""",AAA,"=""[171134.894441]""","=""[186104.96409510]""","=""1s.2p""","=""1P*""","=""1""","=""1s.3d""","=""1D""","=""2""",,"=""T8636c73""","=""L366""",
He,1,"=""""","=""""","=""667.967687""","=""0.000003""","=""""","=""1.510e+04""",AA,"=""[171134.894441]""","=""[186101.54609533]""","=""1s.2p""","=""1P*""","=""1""","=""1s.3d""","=""3D""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""668.730""","=""0.009""","=""""","=""1.6065e+01""",AAA,"=""[582630.08]""","=""[597579.66]""","=""1s.4d""","=""1D""","=""2""","=""1s.6s""","=""1S""","=""0""",E2,"=""T7378""","=""""",
Li,2,"=""""","=""""","=""678.09""","=""0.06""","=""""","=""9.4930e+06""",AAA,"=""[582836.5]""","=""[597579.66]""","=""1s.4p""","=""1P*""","=""1""","=""1s.6s""","=""1S""","=""0""",,"=""T8636c73""","=""""",
He,1,"=""706.5190""","=""""","=""706.517716""","=""0.000005""","=""200*""","=""1.5474e+07""",AAA,"=""[169086.76391031]""","=""[183236.789095]""","=""1s.2p""","=""3P*""","=""2""","=""1s.3s""","=""3S""","=""1""",,"=""T8636c73""","=""L14925c72""",
He,1,"=""706.5190""","=""""","=""706.521532""","=""0.000005""","=""200*""","=""9.2844e+06""",AAA,"=""[169086.84033581]""","=""[183236.789095]""","=""1s.2p""","=""3P*""","=""1""","=""1s.3s""","=""3S""","=""1""",,"=""T8636c73""","=""L14925c72""",
He,1,"=""706.571""","=""""","=""706.570863""","=""0.000005""","=""30""","=""3.0948e+06""",AAA,"=""[169087.82825101]""","=""[183236.789095]""","=""1s.2p""","=""3P*""","=""0""","=""1s.3s""","=""3S""","=""1""",,"=""T8636c73""","=""L366""",
He,1,"=""""","=""""","=""716.055563""","=""0.000005""","=""""","=""9.5686e+04""",AAA,"=""[183236.789095]""","=""[197198.33737542]""","=""1s.3s""","=""3S""","=""1""","=""1s.10p""","=""3P*""","=""0""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""716.055907""","=""0.000005""","=""""","=""9.5686e+04""",AAA,"=""[183236.789095]""","=""[197198.33066214]""","=""1s.3s""","=""3S""","=""1""","=""1s.10p""","=""3P*""","=""1""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""716.055935""","=""0.000005""","=""""","=""9.5686e+04""",AAA,"=""[183236.789095]""","=""[197198.33011596]""","=""1s.3s""","=""3S""","=""1""","=""1s.10p""","=""3P*""","=""2""",,"=""T8636c73""","=""""",
He,1,"=""728.1349""","=""""","=""728.135080""","=""0.000004""","=""50""","=""1.8299e+07""",AAA,"=""[171134.894441]""","=""[184864.826715]""","=""1s.2p""","=""1P*""","=""1""","=""1s.3s""","=""1S""","=""0""",,"=""T8636c73""","=""L366""",
He,1,"=""""","=""""","=""729.803204""","=""0.000005""","=""""","=""1.2913e+05""",AAA,"=""[183236.789095]""","=""[196935.33880189]""","=""1s.3s""","=""3S""","=""1""","=""1s.9p""","=""3P*""","=""0""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""729.803696""","=""0.000005""","=""""","=""1.2913e+05""",AAA,"=""[183236.789095]""","=""[196935.32956383]""","=""1s.3s""","=""3S""","=""1""","=""1s.9p""","=""3P*""","=""1""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""729.803736""","=""0.000005""","=""""","=""1.2913e+05""",AAA,"=""[183236.789095]""","=""[196935.32881198]""","=""1s.3s""","=""3S""","=""1""","=""1s.9p""","=""3P*""","=""2""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""749.984714""","=""0.000005""","=""""","=""1.7942e+05""",AAA,"=""[183236.789095]""","=""[196566.7234987]""","=""1s.3s""","=""3S""","=""1""","=""1s.8p""","=""3P*""","=""0""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""749.985457""","=""0.000005""","=""""","=""1.7942e+05""",AAA,"=""[183236.789095]""","=""[196566.7102909]""","=""1s.3s""","=""3S""","=""1""","=""1s.8p""","=""3P*""","=""1""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""749.985518""","=""0.000005""","=""""","=""1.7942e+05""",AAA,"=""[183236.789095]""","=""[196566.7092158]""","=""1s.3s""","=""3S""","=""1""","=""1s.8p""","=""3P*""","=""2""",,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""781.612468""","=""0.000006""","=""1*""","=""2.5748e+05""",AAA,"=""[183236.789095]""","=""[196027.3338587]""","=""1s.3s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""0""",,"=""T8636c73""","=""L366""",
He,1,"=""""","=""""","=""781.613680""","=""0.000006""","=""1*""","=""2.5748e+05""",AAA,"=""[183236.789095]""","=""[196027.3140350]""","=""1s.3s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""1""",,"=""T8636c73""","=""L366""",
He,1,"=""""","=""""","=""781.613778""","=""0.000006""","=""1*""","=""2.5748e+05""",AAA,"=""[183236.789095]""","=""[196027.3124205]""","=""1s.3s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""2""",,"=""T8636c73""","=""L366""",
He,1,"=""""","=""""","=""809.411413""","=""0.000004""","=""""","=""1.3791e+05""",AAA,"=""[184864.826715]""","=""[197216.086955998]""","=""1s.3s""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""818""","=""4""","=""""","=""2.3154e+03""",AAA,"=""[1201716.90]""","=""[1213944]""","=""1s.5d""","=""3D""","=""2""","=""1s.6p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""822.591""","=""0.010""","=""""","=""6.4409e+06""",AAA,"=""[579980.46]""","=""[592133.83]""","=""1s.4s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""2""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""822.636""","=""0.010""","=""""","=""6.4409e+06""",AAA,"=""[579980.46]""","=""[592133.16]""","=""1s.4s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""1""",,"=""T8636c73""","=""""",
Li,2,"=""""","=""""","=""822.662""","=""0.010""","=""""","=""6.4407e+06""",AAA,"=""[579980.46]""","=""[592132.78]""","=""1s.4s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""0""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""819""","=""4""","=""""","=""6.9070e+06""",AAA,"=""[1201744.3]""","=""[1213944]""","=""1s.5d""","=""1D""","=""2""","=""1s.6p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
H,1,"=""824.999""","=""0.010""","=""824.9974""","=""0.0005""","=""90""","=""""",,"=""97492.304""","=""[109610.2232]""","=""3""","=""""","=""""","=""40""","=""""","=""""",,"=""""","=""L7400c29""",
Be,3,"=""""","=""""","=""825.74""","=""0.09""","=""""","=""1.3509e+06""",AAA,"=""[1201716.90]""","=""[1213823.9]""","=""1s.5d""","=""3D""","=""3""","=""1s.6f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""825.74""","=""0.09""","=""""","=""9.9127e+06""",AAA,"=""[1201716.90]""","=""[1213823.9]""","=""1s.5d""","=""3D""","=""2""","=""1s.6f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""825.74""","=""0.09""","=""""","=""5.8480e+07""",AAA,"=""[1201716.90]""","=""[1213823.9]""","=""1s.5d""","=""3D""","=""3""","=""1s.6f""","=""3F*""","=""4""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""825.74""","=""0.09""","=""""","=""4.2073e+07""",AAA,"=""[1201716.90]""","=""[1213823.9]""","=""1s.5d""","=""3D""","=""2""","=""1s.6f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""825.74""","=""0.09""","=""""","=""4.9123e+07""",AAA,"=""[1201716.90]""","=""[1213823.9]""","=""1s.5d""","=""3D""","=""1""","=""1s.6f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""825.74""","=""0.09""","=""""","=""5.1468e+06""",AAA,"=""[1201716.90]""","=""[1213823.9]""","=""1s.5d""","=""3D""","=""3""","=""1s.6f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""825.74""","=""0.09""","=""""","=""9.0932e+06""",AAA,"=""[1201716.90]""","=""[1213823.9]""","=""1s.5d""","=""3D""","=""2""","=""1s.6f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""825.74""","=""0.09""","=""""","=""2.5991e+05""",AAA,"=""[1201716.90]""","=""[1213823.9]""","=""1s.5d""","=""3D""","=""3""","=""1s.6f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
H,1,"=""825.229""","=""0.010""","=""825.2399""","=""0.0005""","=""90""","=""""",,"=""97492.304""","=""[109606.6628]""","=""3""","=""""","=""""","=""39""","=""""","=""""",,"=""""","=""L7400c29""",
H,1,"=""825.499""","=""0.010""","=""825.5019""","=""0.0005""","=""90""","=""""",,"=""97492.304""","=""[109602.8177]""","=""3""","=""""","=""""","=""38""","=""""","=""""",,"=""""","=""L7400c29""",
H,1,"=""825.789""","=""0.010""","=""825.7856""","=""0.0005""","=""110""","=""""",,"=""97492.304""","=""[109598.6566]""","=""3""","=""""","=""""","=""37""","=""""","=""""",,"=""""","=""L7400c29""",
H,1,"=""826.089""","=""0.010""","=""826.0936""","=""0.0005""","=""110""","=""""",,"=""97492.304""","=""[109594.1439]""","=""3""","=""""","=""""","=""36""","=""""","=""""",,"=""""","=""L7400c29""",
H,1,"=""826.428""","=""0.003""","=""826.4285""","=""0.0005""","=""110""","=""""",,"=""97492.304""","=""[109589.2390]""","=""3""","=""""","=""""","=""35""","=""""","=""""",,"=""""","=""L7400c29""",
He,1,"=""""","=""""","=""826.570055""","=""0.000005""","=""""","=""1.8722e+05""",AAA,"=""[184864.826715]""","=""[196959.69020989]""","=""1s.3s""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
H,1,"=""826.794""","=""0.003""","=""826.7938""","=""0.0005""","=""110""","=""""",,"=""97492.304""","=""[109583.8949]""","=""3""","=""""","=""""","=""34""","=""""","=""""",,"=""""","=""L7400c29""",
H,1,"=""827.194""","=""0.003""","=""827.1931""","=""0.0005""","=""140""","=""""",,"=""97492.304""","=""[109578.0577]""","=""3""","=""""","=""""","=""33""","=""""","=""""",,"=""""","=""L7400c29""",
H,1,"=""827.632""","=""0.003""","=""827.6309""","=""0.0005""","=""140""","=""""",,"=""97492.304""","=""[109571.6647]""","=""3""","=""""","=""""","=""32""","=""""","=""""",,"=""""","=""L7400c29""",
H,1,"=""828.113""","=""0.003""","=""828.1123""","=""0.0005""","=""140""","=""""",,"=""97492.304""","=""[109564.6431]""","=""3""","=""""","=""""","=""31""","=""""","=""""",,"=""""","=""L7400c29""",
H,1,"=""828.642""","=""0.003""","=""828.6432""","=""0.0005""","=""140""","=""""",,"=""97492.304""","=""[109556.9077]""","=""3""","=""""","=""""","=""30""","=""""","=""""",,"=""""","=""L7400c29""",
H,1,"=""829.230""","=""0.003""","=""829.2308""","=""0.0006""","=""170""","=""""",,"=""97492.304""","=""[109548.3584]""","=""3""","=""""","=""""","=""29""","=""""","=""""",,"=""""","=""L7400c29""",
H,1,"=""829.883""","=""0.003""","=""829.8835""","=""0.0006""","=""210""","=""""",,"=""97492.304""","=""[109538.8768]""","=""3""","=""""","=""""","=""28""","=""""","=""""",,"=""""","=""L7400c29""",
H,1,"=""830.610""","=""0.003""","=""830.6113""","=""0.0006""","=""250""","=""""",,"=""97492.304""","=""[109528.3223]""","=""3""","=""""","=""""","=""27""","=""""","=""""",,"=""""","=""L7400c29""",
Be,3,"=""""","=""""","=""833""","=""4""","=""""","=""8.2900e+01""",AAA,"=""[1201935.30]""","=""[1213944]""","=""1s.5p""","=""1P*""","=""1""","=""1s.6p""","=""1P*""","=""1""",E2,"=""T7378""","=""""",
H,1,"=""831.426""","=""0.003""","=""831.4261""","=""0.0006""","=""290""","=""""",,"=""97492.304""","=""[109516.5267]""","=""3""","=""""","=""""","=""26""","=""""","=""""",,"=""""","=""L7400c29""",
Be,3,"=""""","=""""","=""827.61""","=""0.22""","=""""","=""4.7304e+07""",AAA,"=""[1201744.3]""","=""[1213823.9]""","=""1s.5d""","=""1D""","=""2""","=""1s.6f""","=""1F*""","=""3""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""827.61""","=""0.22""","=""""","=""1.1290e+07""",AAA,"=""[1201744.3]""","=""[1213823.9]""","=""1s.5d""","=""1D""","=""2""","=""1s.6f""","=""3F*""","=""3""",,"=""T8636c73""","=""""",
Be,3,"=""""","=""""","=""827.61""","=""0.22""","=""""","=""3.7050e+03""",AAA,"=""[1201744.3]""","=""[1213823.9]""","=""1s.5d""","=""1D""","=""2""","=""1s.6f""","=""3F*""","=""2""",,"=""T8636c73""","=""""",
H,1,"=""832.342""","=""0.003""","=""832.3425""","=""0.0006""","=""290""","=""""",,"=""97492.304""","=""[109503.2875]""","=""3""","=""""","=""""","=""25""","=""""","=""""",,"=""""","=""L7400c29""",
H,1,"=""833.378""","=""0.003""","=""833.3783""","=""0.0006""","=""370""","=""""",,"=""97492.304""","=""[109488.3592]""","=""3""","=""""","=""""","=""24""","=""""","=""""",,"=""""","=""L7400c29""",
H,1,"=""834.554""","=""0.003""","=""834.5553""","=""0.0006""","=""500""","=""""",,"=""97492.304""","=""[109471.4416]""","=""3""","=""""","=""""","=""23""","=""""","=""""",,"=""""","=""L7400c29""",
